nome,data,local,data_texto,link
Festival de Frevo no Marco Zero,2026-02-11,Bairro do Recife,,
Oficina de Culinária Regional,2026-02-13,Mercado da Encruzilhada,,
Show de Jazz na Jaqueira,2026-02-18,Parque da Jaqueira,,
Teatro de Bonecos,2026-02-26,Teatro Santa Isabel,,
ALMA DE CARNAVAL 2026,,"Alma Arte Café - Ladeira da Misericórdia, 106 - Carmo","sáb., 14 de fev. – ter., 17 de fev.",https://www.last.fm/pt/music/Siba/+events
Bora Galo,,"Galo da Madrugada - R. da Concórdia, 736 - São José","sáb., 14 de fev., 08:00 – 11:00 BRT",https://www.viagogo.com/Festival-Tickets/International-Festivals/Galo-Festival-Tickets
QG do YUNI,,"Yuni karaokê & Bar - Av. Marquês de Olinda, 290 - Recife","qui., 12 de fev., 18:00 – seg., 16 de fev., 01:00 BRT",https://www.sympla.com.br/evento/qg-do-yuni/3272440
Camarote SEU BOTECO no RECIFE ANTIGO 2026,,"Seu Boteco - Av. Alfredo Lisboa, s/n - Recife","qui., 12 de fev., 18:00 – ter., 17 de fev., 03:00 BRT",https://www.recifeingressos.com/camarote-seu-boteco-no-recife-antigo
"Martins, Sambarrasta, Elvis e Let Azevedo",,"Mansão Olinda - Ladeira da Sé, 143 - Bultrins","sáb., 14 de fev., 12:00 – 22:00 BRT",https://www.godela.com.br/evento/49441/martins-sambarrasta-elvis-e-let-azevedo/
Carnavrau 2026 | MaleVRAU,,"Brilho Cultural - R. Ulhôa Cintra, 122 - Santo Antônio","dom., 15 de fev., 22:00 – seg., 16 de fev., 06:00 BRT",https://www.sympla.com.br/carnavrau-2026-malevrau__3278037
Black Coffee,,"Cachaçaria Carvalheira - Av. Sul Gov. Cid Sampaio, 4921 - Imbiribeira","dom., 15 de fev., 21:00 – seg., 16 de fev., 01:00 BRT",https://open.spotify.com/concert/2ataIeUT5TpGaKFtOyGHm3
Camarote MAJESTIC no GALO DA MADRUGADA 2026,,"Majestic - R. Imperial, 1410 - São José","sáb., 14 de fev., 08:00 – 16:00 BRT",https://www.recifeingressos.com/camarote-majestic-no-galo-da-madrugada
Mestre das Cores: Como Vender Soluções,,"Home Center Ferreira Costa Imbiribeira - Av. Mal. Mascarenhas de Morais, 2967 - Imbiribeira","qua., 11 de fev., 17:00 – 19:00 BRT",https://www.sympla.com.br/evento/mestre-das-cores-como-vender-solucoes/3279479
Anitta,,Memorial Arcoverde - Av. Olinda Dom Hélder Câmara - Salgadinho,"dom., 15 de fev.",https://evvntly.com/event/ev-70e0ca66405db8142135b8050
